run,day_of_fall,who_touched_first,snake_present
143,8,Eve,False
144,9,Adam,False
145,8,Eve,False
146,7,Eve,False
147,5,Eve,False
148,7,Adam,False
149,7,Eve,False
150,6,Adam,False
151,3,Adam,False
152,6,Eve,False
153,6,Adam,False
154,3,Eve,False
155,7,Adam,False
156,16,Eve,False
157,5,Eve,False
158,8,Adam,False
159,7,Eve,False
160,8,Eve,False
161,9,Adam,False
162,11,Eve,False
163,3,Adam,False
164,4,Eve,False
165,6,Adam,False
166,12,Adam,False
167,5,Eve,False
168,7,Eve,False
169,7,Adam,False
170,5,Adam,False
171,4,Adam,False
172,6,Adam,False
173,4,Adam,False
174,8,Eve,False
175,17,Eve,False
176,5,Adam,False
177,6,Adam,False
178,8,Eve,False
179,5,Adam,False
180,10,Eve,False
181,8,Eve,False
182,15,Eve,False
183,13,Eve,False
184,6,Eve,False
185,9,Eve,False
186,5,Eve,False
187,6,Adam,False
188,9,Eve,False
189,10,Adam,False
190,7,Eve,False
191,11,Adam,False
192,6,Adam,False
193,7,Adam,False
194,7,Eve,False
195,11,Eve,False
196,2,Eve,False
197,9,Eve,False
198,2,Eve,False
199,11,Adam,False
200,6,Eve,False
201,5,Adam,False
202,7,Adam,False
203,5,Adam,False
204,5,Eve,False
205,16,Eve,False
206,5,Adam,False
207,8,Adam,False
208,3,Eve,False
209,6,Eve,False
210,8,Eve,False
211,10,Adam,False
212,15,Eve,False
213,2,Adam,False
214,6,Eve,False
215,8,Adam,False
216,15,Eve,False
217,16,Adam,False
218,10,Eve,False
219,7,Adam,False
220,6,Adam,False
221,4,Adam,False
222,10,Eve,False
223,6,Eve,False
224,8,Eve,False
225,3,Adam,False
226,12,Eve,False
227,9,Eve,False
228,9,Adam,False
229,15,Adam,False
230,7,Eve,False
231,6,Adam,False
232,6,Eve,False
233,8,Adam,False
234,9,Eve,False
235,9,Eve,False
236,10,Adam,False
237,3,Eve,False
238,7,Adam,False
239,1,Eve,False
240,9,Eve,False
241,4,Eve,False
242,6,Adam,False
243,5,Eve,False
244,4,Eve,False
245,10,Adam,False
246,6,Adam,False
247,9,Eve,False
248,10,Eve,False
249,9,Eve,False
250,12,Eve,False
251,5,Eve,False
252,7,Adam,False
253,13,Eve,False
254,6,Adam,False
255,6,Eve,False
256,3,Adam,False
257,5,Eve,False
258,8,Eve,False
259,6,Eve,False
260,6,Adam,False
261,4,Eve,False
262,6,Adam,False
263,9,Adam,False
264,11,Adam,False
265,10,Adam,False
266,3,Adam,False
267,3,Adam,False
268,12,Eve,False
269,2,Adam,False
270,19,Eve,False
271,9,Eve,False
272,11,Adam,False
273,2,Adam,False
274,1,Eve,False
275,6,Eve,False
276,12,Adam,False
277,22,Eve,False
278,2,Adam,False
279,7,Eve,False
280,13,Eve,False
281,5,Eve,False
282,5,Adam,False
283,6,Adam,False
284,11,Eve,False
285,3,Adam,False
286,5,Adam,False
287,10,Eve,False
288,14,Eve,False
289,2,Adam,False
290,10,Eve,False
291,7,Eve,False
292,7,Adam,False
293,10,Adam,False
294,14,Eve,False
295,10,Adam,False
296,9,Adam,False
297,9,Eve,False
298,6,Eve,False
299,8,Adam,False
300,4,Adam,False
301,11,Eve,False
302,10,Eve,False
303,10,Eve,False
304,4,Eve,False
305,1,Adam,False
306,1,Adam,False
307,11,Eve,False
308,9,Adam,False
309,6,Adam,False
310,5,Eve,False
311,10,Eve,False
312,4,Adam,False
313,11,Eve,False
314,1,Adam,False
315,2,Eve,False
316,11,Adam,False
317,10,Adam,False
318,5,Eve,False
319,13,Eve,False
320,4,Eve,False
321,1,Eve,False
322,7,Adam,False
323,6,Adam,False
324,9,Adam,False
325,4,Adam,False
326,12,Eve,False
327,8,Eve,False
328,6,Eve,False
329,9,Eve,False
330,3,Adam,False
331,3,Eve,False
332,2,Eve,False
333,13,Adam,False
334,2,Adam,False
335,11,Eve,False
336,5,Eve,False
337,5,Adam,False
338,6,Eve,False
339,3,Adam,False
340,2,Adam,False
341,4,Adam,False
342,13,Adam,False
343,11,Eve,False
344,10,Eve,False
345,5,Eve,False
346,4,Eve,False
347,3,Adam,False
348,9,Adam,False
349,8,Adam,False
350,8,Eve,False
351,4,Eve,False
352,5,Adam,False
353,10,Adam,False
354,7,Adam,False
355,3,Eve,False
356,6,Adam,False
357,8,Eve,False
358,14,Eve,False
359,13,Adam,False
360,5,Adam,False
361,11,Eve,False
362,4,Eve,False
363,9,Eve,False
364,12,Eve,False
365,9,Adam,False
366,2,Adam,False
367,4,Adam,False
368,4,Adam,False
369,17,Eve,False
370,7,Adam,False
371,2,Eve,False
372,5,Adam,False
373,7,Adam,False
374,13,Eve,False
375,5,Eve,False
376,1,Eve,False
377,7,Eve,False
378,8,Adam,False
379,5,Eve,False
380,4,Adam,False
381,1,Adam,False
382,6,Eve,False
383,4,Eve,False
384,8,Adam,False
385,3,Adam,False
386,11,Adam,False
387,2,Eve,False
388,13,Adam,False
389,12,Adam,False
390,10,Eve,False
391,13,Eve,False
392,11,Adam,False
393,4,Adam,False
394,2,Adam,False
395,5,Adam,False
396,12,Eve,False
397,5,Eve,False
398,7,Eve,False
399,8,Adam,False
400,2,Eve,False
401,10,Adam,False
402,5,Eve,False
403,6,Adam,False
404,5,Adam,False
405,8,Eve,False
406,6,Adam,False
407,6,Adam,False
408,6,Eve,False
409,9,Adam,False
410,13,Adam,False
411,5,Eve,False
412,3,Adam,False
413,3,Adam,False
414,6,Adam,False
415,3,Adam,False
416,11,Adam,False
417,7,Adam,False
418,7,Adam,False
419,12,Adam,False
420,2,Adam,False
421,17,Adam,False
422,9,Eve,False
423,1,Eve,False
424,15,Adam,False
425,4,Eve,False
426,4,Adam,False
427,2,Adam,False
428,6,Eve,False
429,10,Eve,False
430,5,Eve,False
431,4,Eve,False
432,11,Eve,False
433,10,Eve,False
434,4,Adam,False
435,7,Eve,False
436,6,Adam,False
437,7,Adam,False
438,7,Eve,False
439,3,Eve,False
440,7,Eve,False
441,7,Eve,False
442,5,Eve,False
443,3,Adam,False
444,6,Adam,False
445,6,Adam,False
446,2,Adam,False
447,3,Eve,False
448,4,Eve,False
449,4,Eve,False
450,16,Adam,False
451,13,Eve,False
452,11,Adam,False
453,8,Adam,False
454,5,Eve,False
455,2,Eve,False
456,12,Eve,False
457,9,Eve,False
458,8,Adam,False
459,9,Eve,False
460,8,Eve,False
461,9,Eve,False
462,5,Eve,False
463,6,Adam,False
464,7,Eve,False
465,8,Eve,False
466,6,Eve,False
467,6,Adam,False
468,1,Adam,False
469,9,Eve,False
470,14,Adam,False
471,8,Adam,False
472,8,Eve,False
473,9,Adam,False
474,11,Adam,False
475,3,Eve,False
476,12,Eve,False
477,7,Eve,False
478,2,Eve,False
479,4,Adam,False
480,4,Adam,False
481,19,Eve,False
482,7,Eve,False
483,5,Adam,False
484,3,Eve,False
485,2,Adam,False
486,9,Adam,False
487,4,Eve,False
488,7,Eve,False
489,14,Eve,False
490,5,Eve,False
491,5,Eve,False
492,15,Adam,False
493,4,Adam,False
494,3,Adam,False
495,5,Adam,False
496,6,Eve,False
497,1,Adam,False
498,6,Adam,False
499,7,Eve,False
500,11,Adam,False
